Method,EER%,AUC,Notes
Statistical distance (Monrose & Rubin 2000),20–40,0.70–0.85,Earliest keystroke work
Nearest neighbour (Killourhy & Maxion 2009),9–23,0.88–0.95,CMU benchmark dataset
SVM-RBF (Hu et al. 2008),5–8,0.95–0.97,Kernel-based
LSTM Autoencoder (Cirecsan 2012),3–6,0.96–0.98,Deep sequential
User-adaptive SVM (Maiorana 2011),2–4,0.97–0.99,Per-user models
── This Work ──,──,──,──
XGBoost LLR only,2.0000,0.99798,Layer 1 only
Inner-product Fidelity only,5.9265,0.98051,Layer 2a only
Bhattacharyya Fidelity only,15.1765,0.92489,Layer 2b only
*** Q-Shield v2 (Full Unified Pipeline),1.0588,0.999536,Z-norm + LR fusion + per-subj thr
