session_id,subject_id,actual_subject,is_genuine,total_checks,total_rows,alert_count,lock_count,reauth_count,final_action,final_risk,attempt_type
ed94b225,s002,s002,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
e6eb3766,s003,s003,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
cec03a5f,s004,s004,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
3618224e,s005,s005,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
ed6f8c65,s007,s007,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
1eaae42c,s008,s008,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
caa6954e,s010,s010,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
4451b70e,s011,s011,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
db7a3271,s012,s012,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
b719b5b8,s013,s013,True,5,50,3,0,0,SESSION_ENDED,0.0,genuine
3852fcab,s015,s015,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
f00a4fca,s016,s016,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
8b462d0a,s017,s017,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
5a61336d,s018,s018,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
1980e819,s019,s019,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
2affc42e,s020,s020,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
d5a449fa,s021,s021,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
92aeb586,s022,s022,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
cfcf4881,s024,s024,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
a5baf065,s025,s025,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
e11e207f,s026,s026,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
cac16992,s027,s027,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
a9a629a0,s028,s028,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
91aeb156,s029,s029,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
d58b1b3b,s030,s030,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
0eb663d2,s031,s031,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
2d23c5ec,s032,s032,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
b5b33274,s033,s033,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
a2e9d3ab,s034,s034,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
d8b459ba,s035,s035,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
65c25e79,s036,s036,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
cf6e27e4,s037,s037,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
572b92f9,s038,s038,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
ceb4753d,s039,s039,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
de061c57,s040,s040,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
3310b008,s041,s041,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
b832c299,s042,s042,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
85a5eb5c,s043,s043,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
fadd20c7,s044,s044,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
050f7ee0,s046,s046,True,5,50,4,0,0,SESSION_ENDED,0.0,genuine
cf64c1a4,s047,s047,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
08416f36,s048,s048,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
d8654cd5,s049,s049,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
6d97a093,s050,s050,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
10e96a62,s051,s051,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
d12b7698,s052,s052,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
de697d7b,s053,s053,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
c36200be,s054,s054,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
b1c8396f,s055,s055,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
960e37b6,s056,s056,True,5,50,3,0,0,SESSION_ENDED,0.0,genuine
5fc4bf0f,s057,s057,True,5,50,0,0,0,SESSION_ENDED,0.0,genuine
ec714502,s048,s056,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
ec4c9ea3,s029,s002,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
288f8ab4,s028,s015,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
94966194,s031,s024,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
70edc1ca,s012,s053,False,5,50,0,0,0,SESSION_ENDED,0.0,impostor
