subject,kem_pk_B,dsa_vk_B,kem_ct_B,enc_B,sig_B,total_B,sig_valid
s002,1568,2592,1568,840,64,6632,True
s003,1568,2592,1568,840,64,6632,True
s004,1568,2592,1568,840,64,6632,True
s005,1568,2592,1568,840,64,6632,True
s007,1568,2592,1568,840,64,6632,True
s008,1568,2592,1568,840,64,6632,True
s010,1568,2592,1568,840,64,6632,True
s011,1568,2592,1568,840,64,6632,True
s012,1568,2592,1568,840,64,6632,True
s013,1568,2592,1568,840,64,6632,True
s015,1568,2592,1568,840,64,6632,True
s016,1568,2592,1568,840,64,6632,True
s017,1568,2592,1568,840,64,6632,True
s018,1568,2592,1568,840,64,6632,True
s019,1568,2592,1568,840,64,6632,True
s020,1568,2592,1568,840,64,6632,True
s021,1568,2592,1568,840,64,6632,True
s022,1568,2592,1568,840,64,6632,True
s024,1568,2592,1568,840,64,6632,True
s025,1568,2592,1568,840,64,6632,True
s026,1568,2592,1568,840,64,6632,True
s027,1568,2592,1568,840,64,6632,True
s028,1568,2592,1568,840,64,6632,True
s029,1568,2592,1568,840,64,6632,True
s030,1568,2592,1568,840,64,6632,True
s031,1568,2592,1568,840,64,6632,True
s032,1568,2592,1568,840,64,6632,True
s033,1568,2592,1568,840,64,6632,True
s034,1568,2592,1568,840,64,6632,True
s035,1568,2592,1568,840,64,6632,True
s036,1568,2592,1568,840,64,6632,True
s037,1568,2592,1568,840,64,6632,True
s038,1568,2592,1568,840,64,6632,True
s039,1568,2592,1568,840,64,6632,True
s040,1568,2592,1568,840,64,6632,True
s041,1568,2592,1568,840,64,6632,True
s042,1568,2592,1568,840,64,6632,True
s043,1568,2592,1568,840,64,6632,True
s044,1568,2592,1568,840,64,6632,True
s046,1568,2592,1568,840,64,6632,True
s047,1568,2592,1568,840,64,6632,True
s048,1568,2592,1568,840,64,6632,True
s049,1568,2592,1568,840,64,6632,True
s050,1568,2592,1568,840,64,6632,True
s051,1568,2592,1568,840,64,6632,True
s052,1568,2592,1568,840,64,6632,True
s053,1568,2592,1568,840,64,6632,True
s054,1568,2592,1568,840,64,6632,True
s055,1568,2592,1568,840,64,6632,True
s056,1568,2592,1568,840,64,6632,True
s057,1568,2592,1568,840,64,6632,True
