probe_subject,claimed_subject,session,llr,fidelity,bhattacharyya
s002,s003,5,0.11042474997090486,0.011156520092424299,0.6812548643491482
s002,s004,5,0.20393142548389204,0.16920138783811403,0.7359325667562234
s002,s005,5,0.10166301909394636,0.0020508260119631726,0.654388735383208
s002,s007,5,0.17601340632619306,0.002847740770120688,0.6556608329275202
s002,s008,5,0.1804164976619428,0.06110290777259463,0.6194517943940939
s002,s010,5,0.214371430259814,0.05000636511604716,0.6897401831263387
s002,s011,5,0.12919904648832556,0.00392604245226245,0.5214938232198413
s002,s012,5,0.1304813885073717,0.01333109455252819,0.5897539261452119
s002,s013,5,0.22740197517299499,0.13602275692166083,0.7721007700598363
s002,s015,5,0.16908529049228657,0.008363693876114311,0.667638483791602
s002,s016,5,0.0739731126851128,0.08799841430576738,0.6447501111281423
s002,s017,5,0.24886914063064558,0.06279721692305881,0.7348129631757444
s002,s018,5,0.19566356708566113,0.00902504509654524,0.6100491866627809
s002,s019,5,0.18141108884635085,0.0007211854332438892,0.6522104055653866
s002,s020,5,0.2355060377659838,0.0003476023166667633,0.6616597200822923
s002,s021,5,0.0806240569200386,6.683622830009567e-05,0.5860702938153685
s002,s022,5,0.09947689744610215,0.026316453440082252,0.49229577883593134
s002,s024,5,0.12408429525294339,0.01701651412616102,0.6703448645464433
s002,s025,5,0.12751186969889267,0.00017630461288572466,0.5705676944522365
s002,s026,5,0.10574479771209642,6.696555305441934e-05,0.6713164024286954
s002,s027,5,0.1035049961200182,0.0012228178864283677,0.7100009355573736
s002,s028,5,0.1486600021915323,0.2220066645535114,0.7740531041970405
s002,s029,5,0.19801613856301487,0.003089301052287924,0.7954967006873394
s002,s030,5,0.09178609689483622,0.003415146141032112,0.580837511942898
s002,s031,5,0.086704913393666,5.18637628231453e-05,0.623803668714182
s002,s032,5,0.13165298939698672,0.11959137066773481,0.7111827922560463
s002,s033,5,0.09194295165779635,0.06303119173677481,0.7092225915976563
s002,s034,5,0.18364746669750853,0.04563288156071615,0.708609596231029
s002,s035,5,0.16794332758174743,0.15516538574369798,0.6292841099490956
s002,s036,5,0.11664339136543357,0.03552603883595473,0.38835387620857853
s002,s037,5,0.22636907188984612,0.04062959394912055,0.6179818985487414
s002,s038,5,0.10011642618454476,0.03517326385261236,0.6330576414098229
s002,s039,5,0.14039289110240896,0.1357062570133751,0.7013111231285744
s002,s040,5,0.12257214124520974,0.11285749955088305,0.6234383464980896
s002,s041,5,0.15220576441874228,0.015052042067700375,0.6421979677624606
s002,s042,5,0.12023507958161163,0.10753336806910786,0.7343694006385106
s002,s043,5,0.08796381254974264,0.01811581373796355,0.47585149668606735
s002,s044,5,0.13346294979042447,0.03390473524594427,0.6157013144542016
s002,s046,5,0.22705475400044645,0.02427646375108336,0.6602432618992282
s002,s047,5,0.15293824504924625,0.00947997001616775,0.8003187059740957
s002,s048,5,0.12311971271507766,0.0009839695246615726,0.5832134869247798
s002,s049,5,0.17986861642197766,0.0061387640022731605,0.4952483569767444
s002,s050,5,0.23566647817637165,0.0896329788207439,0.6818795565857789
s002,s051,5,0.169637033042488,0.011324852110202639,0.6338257813908881
s002,s052,5,0.07336814548806395,0.06702707057875915,0.5793779672679341
s002,s053,5,0.13576813618641154,0.040044477658758876,0.7021728688241539
s002,s054,5,0.11365520830150619,0.005463419573033212,0.7009028025301033
s002,s055,5,0.20214616101156804,0.2043695502193899,0.6359120464755634
s002,s056,5,0.16841977505387157,0.032810298803453306,0.6885281965426796
s002,s057,5,0.13789955119041483,0.005879388189654167,0.602352424379644
s002,s003,6,0.05859099952291646,0.010407610319599954,0.7389336787217099
s002,s004,6,0.18903605098932533,0.018993540706145347,0.6052629740168224
s002,s005,6,0.10788512757762242,0.00268263561077997,0.6057046814718716
s002,s007,6,0.1620776977171101,0.0012995068598979898,0.6680884204215878
s002,s008,6,0.20976870925788121,0.13066773512903482,0.6569281109105871
s002,s010,6,0.27642428532221336,0.04132577345637196,0.5650905787649456
s002,s011,6,0.1375942656786503,0.018361883335017648,0.6014987054245199
s002,s012,6,0.0766663495495679,0.046420313869447824,0.649081167791485
s002,s013,6,0.2579887840849887,0.11593932176898508,0.6754355648097405
