subject,eer_pct,threshold,auc,genuine_mean,impostor_mean,separation,n_genuine,n_impostor
s003,0.0,0.86069,1.0,0.9619,0.0047,0.9572,4,200
s004,0.0,0.9915,1.0,0.9977,0.0118,0.9859,4,200
s005,0.0,0.99999,1.0,1.0,0.0098,0.9902,4,200
s008,0.0,0.98614,1.0,0.9959,0.0142,0.9818,4,200
s011,0.0,0.82343,1.0,0.9176,0.0064,0.9112,4,200
s010,0.0,0.99783,1.0,0.9995,0.0019,0.9976,4,200
s013,0.0,0.93831,1.0,0.9818,0.0071,0.9747,4,200
s012,0.0,0.98784,1.0,0.9966,0.0084,0.9881,4,200
s017,0.0,0.99573,1.0,0.9986,0.0062,0.9924,4,200
s018,0.0,0.99995,1.0,1.0,0.0038,0.9961,4,200
s015,0.0,0.90296,1.0,0.9757,0.0063,0.9693,4,200
s016,0.0,0.99795,1.0,0.9992,0.0055,0.9937,4,200
s019,0.0,0.99999,1.0,1.0,0.0033,0.9967,4,200
s020,0.0,0.97055,1.0,0.9926,0.0015,0.9911,4,200
s022,0.0,0.99996,1.0,1.0,0.0104,0.9896,4,200
s021,0.0,0.99705,1.0,0.9993,0.008,0.9913,4,200
s030,0.0,0.99998,1.0,1.0,0.0034,0.9966,4,200
s033,0.0,1.0,1.0,1.0,0.0022,0.9978,4,200
s024,0.0,0.99978,1.0,0.9999,0.0116,0.9883,4,200
s025,0.0,1.0,1.0,1.0,0.002,0.998,4,200
s026,0.0,0.99995,1.0,1.0,0.0121,0.9879,4,200
s027,0.0,0.99961,1.0,0.9999,0.0054,0.9945,4,200
s028,0.0,0.99777,1.0,0.9991,0.0067,0.9924,4,200
s029,0.0,0.99826,1.0,0.9992,0.0029,0.9963,4,200
s037,0.0,0.99042,1.0,0.9968,0.012,0.9847,4,200
s035,0.0,0.99999,1.0,1.0,0.0031,0.9969,4,200
s036,0.0,0.99979,1.0,0.9999,0.0029,0.997,4,200
s042,0.0,1.0,1.0,1.0,0.0114,0.9886,4,200
s041,0.0,0.99569,1.0,0.9974,0.007,0.9905,4,200
s040,0.0,1.0,1.0,1.0,0.0028,0.9972,4,200
s039,0.0,0.99986,1.0,1.0,0.0071,0.9928,4,200
s038,0.0,1.0,1.0,1.0,0.0061,0.9939,4,200
s052,0.0,1.0,1.0,1.0,0.0119,0.9881,4,200
s048,0.0,0.99996,1.0,1.0,0.0064,0.9936,4,200
s049,0.0,0.99648,1.0,0.9984,0.0022,0.9962,4,200
s050,0.0,0.99914,1.0,0.9998,0.0085,0.9913,4,200
s054,0.0,0.62885,1.0,0.8814,0.004,0.8774,4,200
s043,0.0,0.99975,1.0,0.9999,0.0158,0.9842,4,200
s044,0.0,0.99146,1.0,0.9975,0.0052,0.9923,4,200
s047,0.0,0.99999,1.0,1.0,0.0043,0.9957,4,200
s056,0.0,0.99622,1.0,0.9988,0.0093,0.9895,4,200
s053,0.0,0.99328,1.0,0.9983,0.0034,0.9949,4,200
s055,0.0,0.89164,1.0,0.9716,0.0098,0.9618,4,200
s046,0.25,0.36476,0.99875,0.8343,0.0078,0.8265,4,200
s031,0.25,0.40266,0.99875,0.8502,0.0037,0.8464,4,200
s032,0.25,0.13731,0.99875,0.7791,0.0058,0.7733,4,200
s034,0.25,0.74692,0.99875,0.9298,0.0064,0.9234,4,200
s057,0.5,0.25762,0.9975,0.7793,0.0081,0.7712,4,200
s051,0.75,0.03774,0.99625,0.7313,0.0045,0.7268,4,200
s002,0.75,0.06049,0.99625,0.7601,0.0054,0.7547,4,200
s007,1.0,0.11549,0.995,0.6648,0.011,0.6538,4,200
